2024-12-05 01:35:01,865 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5555
2024-12-05 01:35:01,865 - INFO - [33mPress CTRL+C to quit[0m
2024-12-05 01:36:08,045 - WARNING - Invalid data fields in: {'relation_type': 'prevent', 'entity1_type': 'study', 'entity1_name': 'Prospective Natural History Study', 'entity2_type': 'progression', 'entity2_name': 'disease progression'}
2024-12-05 01:43:29,420 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'difference', 'entity1_name': 'in benefit', 'entity2_type': 'treatment', 'entity2_name': 'ranibizumab'}
2024-12-05 01:45:07,054 - WARNING - Invalid data fields in: {'relation_type': 'consist_of', 'entity1_type': 'biomarker', 'entity1_name': 'macular pigment', 'entity2_type': 'gene', 'entity2_name': 'lutein'}
2024-12-05 01:45:07,059 - WARNING - Invalid data fields in: {'relation_type': 'consist_of', 'entity1_type': 'biomarker', 'entity1_name': 'macular pigment', 'entity2_type': 'gene', 'entity2_name': 'zeaxanthin'}
2024-12-05 01:45:07,059 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'biomarker', 'entity1_name': 'macular pigment', 'entity2_type': 'light', 'entity2_name': 'short-wavelength light'}
2024-12-05 01:45:07,060 - WARNING - Invalid data fields in: {'relation_type': 'protect', 'entity1_type': 'biomarker', 'entity1_name': 'macular pigment', 'entity2_type': 'body_part', 'entity2_name': 'retina'}
2024-12-05 01:45:07,060 - WARNING - Invalid data fields in: {'relation_type': 'hypothesize', 'entity1_type': 'treatment', 'entity1_name': 'lutein supplementation', 'entity2_type': 'disease', 'entity2_name': 'Age-Related Macular Degeneration (AMD)'}
2024-12-05 01:45:07,060 - WARNING - Invalid data fields in: {'relation_type': 'investigate', 'entity1_type': 'study', 'entity1_name': 'The present study', 'entity2_type': 'treatment', 'entity2_name': '6 months lutein supplementation'}
2024-12-05 01:45:07,060 - WARNING - Invalid data fields in: {'relation_type': 'influence', 'entity1_type': 'treatment', 'entity1_name': '6 months lutein supplementation', 'entity2_type': 'biomarker', 'entity2_name': 'MP optical density (OD)'}
2024-12-05 01:45:07,060 - WARNING - Invalid data fields in: {'relation_type': 'influence', 'entity1_type': 'treatment', 'entity1_name': '6 months lutein supplementation', 'entity2_type': 'symptom', 'entity2_name': 'visual acuity'}
2024-12-05 01:45:07,061 - WARNING - Invalid data fields in: {'relation_type': 'influence', 'entity1_type': 'treatment', 'entity1_name': '6 months lutein supplementation', 'entity2_type': 'symptom', 'entity2_name': 'depth and dimension of central scotoma'}
2024-12-05 01:45:07,061 - WARNING - Invalid data fields in: {'relation_type': 'alter', 'entity1_type': 'treatment', 'entity1_name': '6 months lutein supplementation', 'entity2_type': 'symptom', 'entity2_name': 'symptoms in patients with AMD'}
2024-12-05 01:45:14,283 - WARNING - Invalid data fields in: {'relation_type': 'prevent', 'entity1_type': 'management', 'entity1_name': 'early management', 'entity2_type': 'complication', 'entity2_name': 'permanently lost photoreceptors'}
2024-12-05 01:45:33,426 - WARNING - Invalid data fields in: {'relation_type': 'combine', 'entity1_type': 'treatment', 'entity1_name': 'photodynamic therapy (PDT) with verteporfin', 'entity2_type': 'treatment', 'entity2_name': 'intravitreal triamcinolone acetonide (IVTA)'}
2024-12-05 01:45:33,427 - WARNING - Invalid data fields in: {'relation_type': 'compare', 'entity1_type': 'treatment', 'entity1_name': 'reduced fluence', 'entity2_type': 'treatment', 'entity2_name': 'standard fluence'}
2024-12-05 01:45:33,427 - WARNING - Invalid data fields in: {'relation_type': 'aim', 'entity1_type': 'study', 'entity1_name': 'this study', 'entity2_type': 'comparison', 'entity2_name': 'reduced fluence with standard fluence PDT using verteporfin and IVTA for CNV secondary to AMD'}
2024-12-05 01:45:51,448 - WARNING - Failed to parse match: {'relation_type': 'cause', 'entity1_type': 'complication', 'entity2_type': 'symptom', 'entity2_name': 'significant loss of vision'}\n{'relation_type': 'treat', 'entity1_type': 'treatment', 'entity1_name': 'intravitreal anti-VEGF agents', 'entity2_type': 'disease', 'entity2_name': 'neovascular AMD'}. Error: unexpected character after line continuation character (<unknown>, line 1)
2024-12-05 01:46:00,050 - WARNING - Invalid data fields in: {'relation_type': 'characterize', 'entity1_type': 'disease', 'entity1_name': 'wet AMD', 'entity2_type': 'condition', 'entity2_name': 'choroidal neovascularization (CNV)'}
2024-12-05 01:46:00,050 - WARNING - Invalid data fields in: {'relation_type': 'cause', 'entity1_type': 'condition', 'entity1_name': 'CNV', 'entity2_type': 'symptom', 'entity2_name': 'rapid, disabling blindness'}
2024-12-05 01:46:00,051 - WARNING - Invalid data fields in: {'relation_type': 'improve', 'entity1_type': 'treatment', 'entity1_name': 'intravitreal complement inhibitor (POT-4)', 'entity2_type': 'condition', 'entity2_name': 'CNV'}
2024-12-05 01:46:00,051 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'AMD', 'entity2_type': 'condition', 'entity2_name': 'chronic inflammation'}
2024-12-05 01:46:00,051 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'condition', 'entity1_name': 'CNV', 'entity2_type': 'condition', 'entity2_name': 'unrestrained complement activation'}
2024-12-05 01:46:00,051 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'condition', 'entity1_name': 'CNV', 'entity2_type': 'condition', 'entity2_name': 'complement activation'}
2024-12-05 01:46:38,869 - WARNING - Invalid data fields in: {'relation_type': 'present', 'entity1_type': 'disease', 'entity1_name': 'Age-related macular degeneration', 'entity2_type': 'form', 'entity2_name': 'non-exsudative form'}
2024-12-05 01:46:38,870 - WARNING - Invalid data fields in: {'relation_type': 'improve', 'entity1_type': 'combination', 'entity1_name': 'rheohemapheresis and lutein supplementation', 'entity2_type': 'disease', 'entity2_name': 'non-exsudative form of macular degeneration'}
2024-12-05 01:46:45,108 - WARNING - Invalid data fields in: {'relation_type': 'hypothesize', 'entity1_type': 'biomarker', 'entity1_name': 'macular pigment', 'entity2_type': 'protect', 'entity2_name': 'vision loss'}
2024-12-05 01:46:45,108 - WARNING - Invalid data fields in: {'relation_type': 'study', 'entity1_type': 'objective', 'entity1_name': 'To study if the macular pigment optical density can be raised by lutein supplementation.', 'entity2_type': 'treatment', 'entity2_name': 'lutein supplementation'}
2024-12-05 01:46:45,109 - WARNING - Invalid data fields in: {'relation_type': 'study', 'entity1_type': 'objective', 'entity1_name': 'To study if lutein supplementation can stop or slow down the decrease in visual functions.', 'entity2_type': 'treatment', 'entity2_name': 'lutein supplementation'}
2024-12-05 01:46:45,109 - WARNING - Invalid data fields in: {'relation_type': 'intervention', 'entity1_type': 'treatment', 'entity1_name': '10 mg lutein per day', 'entity2_type': 'disease', 'entity2_name': 'early signs of age-related macular degeneration'}
2024-12-05 01:46:45,109 - WARNING - Invalid data fields in: {'relation_type': 'control', 'entity1_type': 'treatment', 'entity1_name': 'placebo', 'entity2_type': 'disease', 'entity2_name': 'early signs of age-related macular degeneration'}
2024-12-05 01:47:19,209 - WARNING - Invalid data fields in: {'relation_type': 'characterize', 'entity1_type': 'disease', 'entity1_name': 'dry AMD', 'entity2_type': 'biomarker', 'entity2_name': 'drusen'}
2024-12-05 01:47:19,210 - WARNING - Invalid data fields in: {'relation_type': 'characterize', 'entity1_type': 'disease', 'entity1_name': 'dry AMD', 'entity2_type': 'biomarker', 'entity2_name': 'atrophic changes in the RPE'}
2024-12-05 01:47:19,210 - WARNING - Invalid data fields in: {'relation_type': 'progress', 'entity1_type': 'disease', 'entity1_name': 'dry AMD', 'entity2_type': 'disease', 'entity2_name': 'GA'}
2024-12-05 01:47:19,211 - WARNING - Invalid data fields in: {'relation_type': 'block', 'entity1_type': 'treatment', 'entity1_name': 'OT-551', 'entity2_type': 'process', 'entity2_name': 'angiogenesis stimulated by VEGF'}
2024-12-05 01:47:19,211 - WARNING - Invalid data fields in: {'relation_type': 'block', 'entity1_type': 'treatment', 'entity1_name': 'OT-551', 'entity2_type': 'process', 'entity2_name': 'other growth factors'}
2024-12-05 01:47:40,507 - WARNING - Invalid data fields in: {'relation_type': 'compare', 'entity1_type': 'study', 'entity1_name': 'LUCAS', 'entity2_type': 'treatment', 'entity2_name': 'Bevacizumab (Avastin) and Ranibizumab (Lucentis)'}
2024-12-05 01:47:40,508 - WARNING - Invalid data fields in: {'relation_type': 'compare', 'entity1_type': 'study', 'entity1_name': 'LUCAS', 'entity2_type': 'efficacy', 'entity2_name': 'Bevacizumab (Avastin) and Ranibizumab (Lucentis)'}
2024-12-05 01:47:40,508 - WARNING - Invalid data fields in: {'relation_type': 'compare', 'entity1_type': 'study', 'entity1_name': 'LUCAS', 'entity2_type': 'safety', 'entity2_name': 'Bevacizumab (Avastin) and Ranibizumab (Lucentis)'}
2024-12-05 01:47:40,508 - WARNING - Invalid data fields in: {'relation_type': 'treat', 'entity1_type': 'study', 'entity1_name': 'LUCAS', 'entity2_type': 'disease', 'entity2_name': 'exudative (wet) AMD'}
2024-12-05 01:47:40,509 - WARNING - Invalid data fields in: {'relation_type': 'treat', 'entity1_type': 'study', 'entity1_name': 'LUCAS', 'entity2_type': 'treatment', 'entity2_name': 'inject and extend protocol'}
2024-12-05 01:47:40,509 - WARNING - Invalid data fields in: {'relation_type': 'treat', 'entity1_type': 'study', 'entity1_name': 'LUCAS', 'entity2_type': 'treatment', 'entity2_name': 'photodynamic therapy (PDT)'}
2024-12-05 01:47:51,448 - WARNING - Invalid data fields in: {'relation_type': 'document', 'entity1_type': 'test', 'entity1_name': 'other tests', 'entity2_type': 'disease', 'entity2_name': 'wet Age-related macular degeneration'}
2024-12-05 01:47:51,448 - WARNING - Invalid data fields in: {'relation_type': 'switch', 'entity1_type': 'treatment', 'entity1_name': 'ranibizumab', 'entity2_type': 'treatment', 'entity2_name': 'any other Anti vascUlar endothelial growth factor (anti VEGF) treatment'}
2024-12-05 01:47:51,448 - WARNING - Invalid data fields in: {'relation_type': 'follow_up', 'entity1_type': 'treatment', 'entity1_name': 'switch', 'entity2_type': 'treatment', 'entity2_name': 'any other Anti vascUlar endothelial growth factor (anti VEGF) treatment'}
2024-12-05 01:47:51,449 - WARNING - Invalid data fields in: {'relation_type': 'document', 'entity1_type': 'test', 'entity1_name': 'administered treatments', 'entity2_type': 'treatment', 'entity2_name': 'ranibizumab'}
2024-12-05 01:47:51,449 - WARNING - Invalid data fields in: {'relation_type': 'document', 'entity1_type': 'test', 'entity1_name': 'results of ocular and visual assessments', 'entity2_type': 'symptom', 'entity2_name': 'visual impairment'}
2024-12-05 01:47:51,449 - WARNING - Invalid data fields in: {'relation_type': 'document', 'entity1_type': 'test', 'entity1_name': 'medical history', 'entity2_type': 'comorbidity', 'entity2_name': 'other medical conditions'}
2024-12-05 01:47:51,449 - WARNING - Invalid data fields in: {'relation_type': 'document', 'entity1_type': 'test', 'entity1_name': 'demographics', 'entity2_type': 'body_part', 'entity2_name': 'patient characteristics'}
2024-12-05 01:49:09,453 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'treatment', 'entity1_name': 'ranibizumab', 'entity2_type': 'age_group', 'entity2_name': 'above 50 years old'}
2024-12-05 01:49:24,239 - WARNING - Invalid data fields in: {'relation_type': 'present', 'entity1_type': 'treatment', 'entity1_name': 'ranibizumab (Lucentis)', 'entity2_type': 'side_effect', 'entity2_name': 'raised eye pressure'}
2024-12-05 01:49:24,240 - WARNING - Invalid data fields in: {'relation_type': 'aggravate', 'entity1_type': 'side_effect', 'entity1_name': 'raised eye pressure', 'entity2_type': 'comorbidity', 'entity2_name': 'glaucoma'}
2024-12-05 01:49:24,241 - WARNING - Invalid data fields in: {'relation_type': 'prevent', 'entity1_type': 'treatment', 'entity1_name': 'acetazolamide (Diamox)', 'entity2_type': 'side_effect', 'entity2_name': 'eye pressure spikes'}
2024-12-05 01:50:11,855 - WARNING - Invalid data fields in: {'relation_type': 'prevent', 'entity1_type': 'evidence', 'entity1_name': 'Randomised Control Trials (RCT)', 'entity2_type': 'implementation', 'entity2_name': 'enhanced rehabilitation programmes'}
2024-12-05 01:50:11,863 - WARNING - Invalid data fields in: {'relation_type': 'compare', 'entity1_type': 'treatment', 'entity1_name': 'two types of eccentric viewing training', 'entity2_type': 'treatment', 'entity2_name': 'conventional hospital-based low vision care'}
2024-12-05 01:50:28,853 - WARNING - Invalid data fields in: {'relation_type': 'progress', 'entity1_type': 'disease', 'entity1_name': 'dry AMD', 'entity2_type': 'disease', 'entity2_name': 'wet AMD'}
2024-12-05 01:50:28,854 - WARNING - Invalid data fields in: {'relation_type': 'treat', 'entity1_type': 'research', 'entity1_name': 'new treatments', 'entity2_type': 'disease', 'entity2_name': 'AMD'}
2024-12-05 01:50:28,854 - WARNING - Invalid data fields in: {'relation_type': 'diagnose', 'entity1_type': 'procedure', 'entity1_name': 'dark adaptation protocol', 'entity2_type': 'disease', 'entity2_name': 'early to middle dry AMD'}
2024-12-05 01:50:28,855 - WARNING - Invalid data fields in: {'relation_type': 'monitor', 'entity1_type': 'procedure', 'entity1_name': 'dark adaptation protocol', 'entity2_type': 'disease', 'entity2_name': 'early to middle dry AMD'}
2024-12-05 01:50:28,855 - WARNING - Invalid data fields in: {'relation_type': 'correlate', 'entity1_type': 'biomarker', 'entity1_name': 'dark adaptation', 'entity2_type': 'biomarker', 'entity2_name': 'visual acuity'}
2024-12-05 01:50:28,855 - WARNING - Invalid data fields in: {'relation_type': 'correlate', 'entity1_type': 'biomarker', 'entity1_name': 'dark adaptation', 'entity2_type': 'biomarker', 'entity2_name': 'retinal features on ocular imaging'}
2024-12-05 01:50:28,856 - WARNING - Invalid data fields in: {'relation_type': 'correlate', 'entity1_type': 'biomarker', 'entity1_name': 'dark adaptation', 'entity2_type': 'biomarker', 'entity2_name': 'genetic variants'}
2024-12-05 01:50:28,856 - WARNING - Invalid data fields in: {'relation_type': 'correlate', 'entity1_type': 'biomarker', 'entity1_name': 'dark adaptation', 'entity2_type': 'biomarker', 'entity2_name': 'other biomarkers identified from biospecimens'}
2024-12-05 01:50:28,856 - WARNING - Invalid data fields in: {'relation_type': 'correlate', 'entity1_type': 'biomarker', 'entity1_name': 'visual acuity', 'entity2_type': 'biomarker', 'entity2_name': 'retinal features on ocular imaging'}
2024-12-05 01:50:28,856 - WARNING - Invalid data fields in: {'relation_type': 'correlate', 'entity1_type': 'biomarker', 'entity1_name': 'visual acuity', 'entity2_type': 'biomarker', 'entity2_name': 'genetic variants'}
2024-12-05 01:50:28,856 - WARNING - Invalid data fields in: {'relation_type': 'correlate', 'entity1_type': 'biomarker', 'entity1_name': 'visual acuity', 'entity2_type': 'biomarker', 'entity2_name': 'other biomarkers identified from biospecimens'}
2024-12-05 01:50:28,856 - WARNING - Invalid data fields in: {'relation_type': 'correlate', 'entity1_type': 'biomarker', 'entity1_name': 'retinal features on ocular imaging', 'entity2_type': 'biomarker', 'entity2_name': 'genetic variants'}
2024-12-05 01:50:28,856 - WARNING - Invalid data fields in: {'relation_type': 'correlate', 'entity1_type': 'biomarker', 'entity1_name': 'retinal features on ocular imaging', 'entity2_type': 'biomarker', 'entity2_name': 'other biomarkers identified from biospecimens'}
2024-12-05 01:50:28,857 - WARNING - Invalid data fields in: {'relation_type': 'correlate', 'entity1_type': 'biomarker', 'entity1_name': 'genetic variants', 'entity2_type': 'biomarker', 'entity2_name': 'other biomarkers identified from biospecimens'}
2024-12-05 01:51:00,546 - WARNING - Invalid data fields in: {'relation_type': 'cause', 'entity1_type': 'condition', 'entity1_name': 'posterior vitreomacular adhesion (VMA)', 'entity2_type': 'disease', 'entity2_name': 'exudative AMD'}
2024-12-05 01:51:00,548 - WARNING - Invalid data fields in: {'relation_type': 'cause', 'entity1_type': 'condition', 'entity1_name': 'posterior vitreomacular adhesion (VMA)', 'entity2_type': 'symptom', 'entity2_name': 'poorly responsive CNV'}
2024-12-05 01:51:00,548 - WARNING - Invalid data fields in: {'relation_type': 'treat', 'entity1_type': 'procedure', 'entity1_name': 'intravitreal injection of expansile gas and induction of posterior vitreous detachment', 'entity2_type': 'condition', 'entity2_name': 'posterior vitreomacular adhesion (VMA)'}
2024-12-05 01:51:00,548 - WARNING - Invalid data fields in: {'relation_type': 'improve', 'entity1_type': 'procedure', 'entity1_name': 'intravitreal injection of expansile gas and induction of posterior vitreous detachment', 'entity2_type': 'symptom', 'entity2_name': 'visual outcome in exudative AMD'}
2024-12-05 01:51:00,549 - WARNING - Invalid data fields in: {'relation_type': 'cause', 'entity1_type': 'condition', 'entity1_name': 'posterior vitreomacular adhesion (VMA)', 'entity2_type': 'complication', 'entity2_name': 'resistance to anti-VEGF therapy'}
2024-12-05 01:51:00,549 - WARNING - Invalid data fields in: {'relation_type': 'aggravate', 'entity1_type': 'condition', 'entity1_name': 'posterior vitreomacular adhesion (VMA)', 'entity2_type': 'symptom', 'entity2_name': 'poor visual outcome after anti-VEGF treatment'}
2024-12-05 01:51:00,549 - WARNING - Invalid data fields in: {'relation_type': 'prevent', 'entity1_type': 'procedure', 'entity1_name': 'intravitreal injection of expansile gas and induction of posterior vitreous detachment', 'entity2_type': 'complication', 'entity2_name': 'resistance to anti-VEGF therapy in neovascular AMD with posterior vitreomacular adhesion (VMA)'}
2024-12-05 01:51:00,549 - WARNING - Invalid data fields in: {'relation_type': 'improve', 'entity1_type': 'procedure', 'entity1_name': 'intravitreal injection of expansile gas and induction of posterior vitreous detachment', 'entity2_type': 'symptom', 'entity2_name': 'visual outcome in neovascular AMD with posterior vitreomacular adhesion (VMA)'}
2024-12-05 01:51:00,550 - WARNING - Invalid data fields in: {'relation_type': 'assess', 'entity1_type': 'test', 'entity1_name': 'safety and tolerability of the intravitreal administration of Ranibizumab combined with intravitreous injection of expansile gas', 'entity2_type': 'treatment', 'entity2_name': 'intravitreal administration of Ranibizumab combined with intravitreous injection of expansile gas'}
2024-12-05 01:51:31,626 - WARNING - Invalid data fields in: {'relation_type': 'cause', 'entity1_type': 'factor', 'entity1_name': 'inflammation', 'entity2_type': 'disease', 'entity2_name': 'GA'}
2024-12-05 01:51:31,627 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'AMD', 'entity2_type': 'age_group', 'entity2_name': 'people over age 65'}
2024-12-05 01:51:31,628 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'AMD', 'entity2_type': 'vision', 'entity2_name': 'central visual acuity'}
2024-12-05 01:51:31,628 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'AMD', 'entity2_type': 'vision', 'entity2_name': 'visual acuity'}
2024-12-05 01:51:31,628 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'GA', 'entity2_type': 'vision', 'entity2_name': 'vision loss'}
2024-12-05 01:51:31,629 - WARNING - Invalid data fields in: {'relation_type': 'improve', 'entity1_type': 'treatment', 'entity1_name': 'sirolimus', 'entity2_type': 'vision', 'entity2_name': 'preserve vision'}
2024-12-05 01:51:31,629 - WARNING - Invalid data fields in: {'relation_type': 'improve', 'entity1_type': 'treatment', 'entity1_name': 'sirolimus', 'entity2_type': 'vision', 'entity2_name': 'visual acuity'}
